tick, steer_decision, brake_decision, accel_decision, gear_decision, lights_decision
2,0.085956,0,1,0,0
5,0.085956,0,1,0,0
8,0.085956,0,1,0,0
11,0.085956,0,1,0,0
14,0.085956,0,1,0,0
17,0.085956,0,1,0,0
20,0.085956,0,1,0,0
23,0.085956,0,1,0,0
26,0.085956,0,1,0,0
29,0.085956,0,1,0,0
32,0.085956,0,1,0,0
35,0.085956,0,1,0,0
38,0.085956,0,1,0,0
41,0.085956,0,1,0,0
44,0.085722,0,1,0,0
47,0.084161,0,1,0,0
50,0.080009,0,1,0,0
53,0.07012,0,1,0,0
56,0.059354,0,1,0,0
59,0.050298,0,1,0,0
62,0.042035,0,1,0,0
65,0.035304,0,1,0,0
68,0.03382,0,1,0,0
71,0.032813,0,1,0,0
74,0.031835,0,1,0,0
77,0.030792,0,1,0,0
80,0.02968,0,1,0,0
83,0.028574,0,1,0,0
86,0.03989,0,1,0,0
89,0.036041,0,1,0,0
92,0.034562,0,1,0,0
95,0.033152,0,1,0,0
98,0.031658,0,1,0,0
101,0.03017,0,1,0,0
104,0.028489,0,1,0,0
107,0.026916,0,1,0,0
110,0.025277,0,1,0,0
113,0.023627,0,1,0,0
116,0.021901,0,1,0,0
119,0.019916,0,1,0,0
122,0.018122,0,1,0,0
125,0.016334,0,1,0,0
128,0.014543,0,1,0,0
131,0.012752,0,1,0,0
134,0.010686,0,1,0,0
137,0.008869,0,1,0,0
140,0.007042,0,1,0,0
143,0.005106,0,1,0,0
146,0.003063,0,1,0,0
149,0.00077,0,1,0,0
152,-0.001499,0,1,0,0
155,-0.003902,0,1,0,0
158,-0.006333,0,1,0,0
161,-0.012053,0,1,0,0
164,-0.014295,0,1,0,0
167,-0.016537,0,1,0,0
170,-0.01878,0,1,0,0
173,-0.021147,0,1,0,0
176,-0.02354,0,1,0,0
179,-0.025933,0,1,0,0
182,-0.028325,0,1,0,0
185,-0.03073,0,1,0,0
188,-0.033252,0,1,0,0
191,-0.035952,0,1,0,0
194,-0.038671,0,1,0,0
197,-0.040833,0,1,0,0
200,-0.033984,0,1,0,0
203,-0.02973,0,1,0,0
206,-0.030902,0,1,0,0
209,-0.032888,0,1,0,0
212,-0.035061,0,1,0,0
215,-0.037519,0,1,0,0
218,-0.040287,0,1,0,0
221,-0.038183,0,1,0,0
224,-0.030149,0,1,0,0
227,-0.031563,0,1,0,0
230,-0.034772,0,1,0,0
233,-0.038686,0,1,0,0
236,-0.041592,0,1,0,0
239,-0.032416,0,1,0,0
242,-0.032549,0,1,0,0
245,-0.036168,0,1,0,0
248,-0.040327,0,1,0,0
251,-0.039139,0,1,0,0
254,-0.031007,0,1,0,0
257,-0.032642,0,1,0,0
260,-0.03625,0,1,0,0
263,-0.039866,0,1,0,0
266,-0.040906,0,1,0,0
269,-0.027097,0,1,0,0
272,-0.019152,0,1,0,0
275,-0.011421,0,0.71951,0,0
278,-0.001046,0,0.71951,0,0
281,0.011738,0.003983,0,0,0
284,0.028033,0.10281,0,0,0
287,0.047918,0.219774,0,0,0
290,0.055936,0.341425,0,0,0
293,0.051685,0.462692,0,0,0
296,0.045389,0.583292,0,0,0
299,0.041984,0.704128,0,0,0
302,0.041816,0.825193,0,0,0
305,0.044656,0.905975,0,0,0
308,0.048786,0.535614,0,0,0
311,0.051494,0.618834,0,0,0
314,0.053007,0.740219,0,0,0
317,0.054025,0.86125,0,0,0
320,0.055683,0.828037,0,0,0
323,0.057449,0.533506,0,0,0
326,0.057895,0.657131,0,0,0
329,0.057666,0.778223,0,0,0
332,0.057166,0.899145,0,0,0
335,0.056845,0.843447,0,0,0
338,0.057019,0.43914,0,0,0
341,0.056534,0.243288,0,0,0
344,0.05632,0,0.71951,0,0
347,0.056948,0,1,0,0
350,0.057882,0,1,0,0
353,0.059182,0,1,0,0
356,0.061827,0,1,0,0
359,0.06718,0,1,0,0
362,0.075087,0,1,0,0
365,0.087677,0,1,0,0
368,0.110283,0,1,0,0
371,0.135361,0,1,0,0
374,0.156772,0,1,0,0
377,0.17715,0,1,0,0
380,0.202159,0,1,0,0
383,0.233064,0,1,0,0
386,0.268693,0,1,0,0
389,0.306841,0,1,0,0
392,0.344493,0,1,0,0
395,0.371307,0,1,0,0
398,0.384279,0,1,0,0
401,0.382472,0,1,0,0
404,0.352771,0,1,0,0
407,0.302492,0,1,0,0
410,0.248396,0,1,0,0
413,0.200659,0,1,0,0
416,0.155995,0,1,0,0
419,0.108352,0,1,0,0
422,0.058727,0,1,0,0
425,0.01455,0,1,0,0
428,-0.019428,0,1,0,0
431,-0.067115,0,1,0,0
434,-0.137036,0,1,0,0
437,-0.221286,0,1,0,0
440,-0.313572,0,1,0,0
443,-0.408599,0,1,0,0
446,-0.499905,0,1,0,0
449,-0.578208,0,1,0,0
452,-0.633968,0,1,0,0
455,-0.653831,0,1,0,0
458,-0.634772,0,1,0,0
461,-0.583548,0,1,0,0
464,-0.519873,0,1,0,0
467,-0.451902,0,1,0,0
470,-0.383394,0,1,0,0
473,-0.316139,0,1,0,0
476,-0.25099,0,1,0,0
479,-0.188212,0,1,0,0
482,-0.129293,0,1,0,0
485,-0.076173,0,1,0,0
488,-0.028666,0,1,0,0
491,0.015136,0,1,0,0
494,0.061945,0,1,0,0
497,0.111608,0,1,0,0
500,0.150218,0,1,0,0
503,0.151059,0,1,0,0
506,0.124841,0,1,0,0
509,0.08822,0,1,0,0
512,0.053599,0,1,0,0
515,0.029421,0,1,0,0
518,0.025524,0,1,0,0
521,0.032551,0,1,0,0
524,0.040878,0,1,0,0
527,0.043603,0,1,0,0
