tick, steer, brake, gas, clutch
2,0,0,0,0.5
5,0,0,0,0.5
8,0,0,1,0.5
11,0,0,1,0.5
14,0,0,1,0.5
17,0,0,1,0.5
20,0,0,1,0.5
23,0,0,1,0.5
26,0,0,1,0.5
29,0,0,1,0.5
32,0,0,1,0.5
35,0,0,1,0.5
38,0,0,1,0.5
41,0,0,1,0.5
44,0,0,0.578282,0.5
47,0,0,0.710191,0.5
50,0,0,0.877191,0.5
53,0,0,1,0.5
56,0,0,1,0.5
59,0,0,1,0.5
62,0,0,1,0.5
65,0,0,1,0.5
68,0,0,1,0.5
71,0,0,1,0.5
74,0,0,1,0.5
77,0,0,1,0.5
80,0,0,1,0.5
83,0,0,1,0.5
86,0,0,1,0.5
89,0,0,1,0.5
92,0,0,1,0.5
95,0,0,1,0.5
98,0,0,1,0.5
101,0,0,1,0.5
104,0,0,1,0.5
107,0,0,1,0.5
110,0,0,1,0.3
113,0,0,1,0.1
116,0,0,1,-0.0333333
119,0,0,1,-0.0333333
122,0,0,1,-0.0333333
125,0,0,1,-0.0333333
128,0,0,1,-0.0333333
131,0,0,0,0.933333
134,0,0,0,0.733333
137,0,0,0,0.533333
140,0,0,0,0.333333
143,0,0,0,0.133333
146,0,0,0.2,-0.0666666
149,0,0,0.8,-0.0666666
152,0,0,1,-0.0666666
155,0,0,1,-0.0666666
158,0,0,1,-0.0666666
161,0,0,1,-0.0666666
164,0,0,1,-0.0666666
167,0,0,1,-0.0666666
170,0,0,1,-0.0666666
173,0,0,1,-0.0666666
176,0,0,1,-0.0666666
179,0,0,1,-0.0666666
182,0,0,1,-0.0666666
185,0.000417545,0,1,-0.0666666
188,0.000417498,0,1,-0.0666666
191,0.000417452,0,1,-0.0666666
194,0.000417405,0,1,-0.0666666
197,0.000417359,0,1,-0.0666666
200,0.000417313,0,1,-0.0666666
203,0.000417266,0,1,-0.0666666
206,0.000673901,0,1,-0.0666666
209,0.000977382,0,1,-0.0666666
212,0.00132434,0,1,-0.0666666
215,0.00213879,0,1,-0.0666666
218,0.00310196,0,1,-0.0666666
221,0.00420283,0,1,-0.0666666
224,0.00420251,0,1,-0.0666666
227,0.00480155,0,1,-0.0666666
230,0.00543259,0,1,-0.0666666
233,0.0060937,0,1,-0.0666666
236,0.00609303,0,1,-0.0666666
239,0.00609236,0,1,-0.0666666
242,0.00609168,0,1,-0.0666666
245,0.00609101,0,1,-0.0666666
248,0.00609033,0,1,-0.0666666
251,0.00608967,0,1,-0.0666666
254,0.00608899,0,1,-0.0666666
257,0.00608832,0,1,-0.0666666
260,0.00479589,0,1,-0.0666666
263,0.00132191,0,0,0.866667
266,-0.00259822,0,0,0.666667
269,-0.0106643,0,0,0.466667
272,-0.0152218,0,0,0.266667
275,-0.0204021,0,0,0.0666667
278,-0.0237898,0,0.4,-0.0666666
281,-0.0298982,0,1,-0.0666666
284,-0.0324946,0,1,-0.0666666
287,-0.0324928,0,1,-0.0666666
290,-0.0351724,0,1,-0.0666666
293,-0.0351704,0,1,-0.0666666
296,-0.0379346,0,1,-0.0666666
299,-0.0393478,0,1,-0.0666666
302,-0.0452104,0,1,-0.0666666
305,-0.0467285,0,1,-0.0666666
308,-0.0467397,0,1,-0.0666666
311,-0.0482713,0,1,-0.0666666
314,-0.0498255,0,1,-0.0666666
317,-0.0529926,0,1,-0.0666666
320,-0.0530031,0,1,-0.0666666
323,-0.0530045,0,1,-0.0666666
326,-0.053,0,1,-0.0666666
329,-0.0529956,0,1,-0.0666666
332,-0.0529912,0,1,-0.0666666
335,-0.0530044,0,0,-0.0666666
338,-0.0530098,0.2,0,-0.0666666
341,-0.0530232,0.679154,0,-0.0666666
344,-0.0546662,0.764471,0,-0.0666666
347,-0.0563314,0.773089,0,-0.0666666
350,-0.0580128,0.755828,0,-0.0666666
353,-0.0701725,0.757427,0,-0.0666666
356,-0.0851826,0.752323,0,-0.0666666
359,-0.0972057,0.747398,0,-0.0666666
362,-0.112024,0,0,-0.0666666
365,-0.141643,0,0,-0.0666666
368,-0.156225,0,0,-0.0666666
371,-0.168805,0,0,-0.0666666
374,-0.189743,0,0,-0.0666666
377,-0.225828,0,0,-0.0666666
380,-0.255264,0,0,-0.0666666
383,-0.295659,0,0,-0.0666666
386,-0.328318,0,0,-0.0666666
389,-0.358855,0,0,-0.0666666
392,-0.358835,0,0,-0.0666666
395,-0.358805,0,0,-0.0666666
398,-0.331552,0,0,-0.0666666
401,-0.237285,0,0,-0.0666666
404,-0.189595,0,0,-0.0666666
407,-0.18162,0,0,-0.0666666
410,-0.156059,0,0,-0.0666666
413,-0.101256,0,0,-0.0666666
416,-0.0408712,0,0,-0.0666666
419,-0.0106724,0,0,-0.0666666
422,0.000416616,0,0,-0.0666666
425,0.046822,0,0,-0.0666666
428,0.163497,0,0,-0.0666666
431,0.273305,0,0,-0.0666666
434,0.368942,0,0,-0.0666666
437,0.456538,0,0,-0.0666666
440,0.503089,0,0,-0.0666666
443,0.518995,0,0,-0.0666666
446,0.54322,0,0,-0.0666666
449,0.576186,0,0,-0.0666666
452,0.576153,0,0,-0.0666666
455,0.351521,0,0,-0.0666666
458,0.0737458,0,0,-0.0666666
461,-0.00309709,0,0,-0.0666666
464,-0.0452823,0,0,-0.0666666
467,-0.12286,0,0,-0.0666666
470,-0.160946,0,0,-0.0666666
473,-0.163473,0,0,-0.0666666
476,-0.163485,0,0,-0.0666666
479,-0.166029,0.35,0,-0.0666666
482,-0.225607,0.35,0,-0.0666666
485,-0.246115,0.35,0,-0.0666666
488,-0.246171,0,0,-0.0666666
491,-0.243224,0,0,-0.0666666
494,-0.176444,0,0,-0.0666666
497,-0.116304,0,0,-0.0666666
500,-0.0756717,0,0,-0.0666666
503,-0.0423434,0,0,-0.0666666
506,-0.0142753,0,0,-0.0666666
509,-0.00260052,0,0,-0.0666666
512,-0.00213685,0,0,-0.0666666
515,-0.00171035,0,0,-0.0666666
518,-0.00171021,0,0,-0.0666666
521,-0.00132262,0,0,-0.0666666
524,-0.00132251,0,0,-0.0666666
527,-0.000975874,0,0,-0.0666666
